ip,timestamp,method,path,status_code,body_bytes_sent,referrer,user_agent,label
203.0.113.58,0.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.59,0.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.98,0.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.92,0.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.94,0.0,GET,/blog,200,512,/,python-requests/2.x,
203.0.113.88,0.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.88,0.0,GET,/blog,200,512,/,python-requests/2.x,
203.0.113.112,0.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.92,0.0,GET,/blog,200,512,/,python-requests/2.x,
203.0.113.93,0.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.94,0.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.93,0.0,GET,/blog,200,512,/,python-requests/2.x,
203.0.113.97,0.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.106,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.44,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.43,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.56,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.111,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.44,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.42,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.69,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.102,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.105,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.11,1.0,GET,/,200,512,/,Mozilla/5.0,
203.0.113.75,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.47,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.48,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.47,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.34,1.0,GET,/,200,512,/,Mozilla/5.0,
203.0.113.78,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.46,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.46,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.74,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.45,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.75,1.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.73,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.71,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.71,1.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.70,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.107,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.55,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.104,1.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.63,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.72,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.68,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.64,1.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.41,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.64,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.69,1.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.67,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.65,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.41,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.66,1.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.66,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.43,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.108,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.109,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.57,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.57,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.120,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.86,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.86,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.84,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.84,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.82,1.0,GET,/blog,200,512,/,python-requests/2.x,
203.0.113.82,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.83,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.83,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.99,1.0,GET,/blog,200,512,/,python-requests/2.x,
203.0.113.98,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.103,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.99,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.100,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.100,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.100,1.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.101,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.62,1.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.80,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.78,1.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.61,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.54,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.54,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.76,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.79,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.50,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.50,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.49,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.79,1.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.77,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.51,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.51,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.62,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.90,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.90,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.89,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.89,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.96,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.95,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.96,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.87,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.52,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.81,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.53,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.52,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.97,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.97,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.96,1.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.85,1.0,GET,/blog,200,512,/,python-requests/2.x,
203.0.113.92,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.92,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.91,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.91,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.98,1.0,GET,/blog,200,512,/,python-requests/2.x,
203.0.113.85,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.93,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.93,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.94,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.94,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.53,1.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.53,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.95,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.95,1.0,GET,/blog,200,512,/,python-requests/2.x,
203.0.113.87,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.81,1.0,GET,/blog,200,512,/,python-requests/2.x,
203.0.113.113,1.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.114,1.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.118,1.0,GET,/,200,512,/,python-requests/2.x,
203.0.113.59,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.88,1.0,GET,/blog/post-1,200,512,/blog,python-requests/2.x,
203.0.113.88,1.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.60,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.60,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.115,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.117,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.119,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.116,1.0,GET,/,200,512,/,stealth-browser/1.0,
203.0.113.58,1.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.59,1.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.58,2.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.57,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.109,2.0,GET,/about,200,512,/,stealth-browser/1.0,
203.0.113.114,2.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.120,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.118,2.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.88,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.88,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.88,2.0,GET,/blog/post-5,200,512,/blog/post-4,python-requests/2.x,
203.0.113.94,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.94,2.0,GET,/blog/post-5,200,512,/blog/post-4,python-requests/2.x,
203.0.113.19,2.0,GET,/,200,512,/,Mozilla/5.0,
203.0.113.93,2.0,GET,/blog/post-5,200,512,/blog/post-4,python-requests/2.x,
203.0.113.94,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.93,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.93,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.92,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.45,2.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.45,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.41,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.69,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.65,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.44,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.107,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.110,2.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.106,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.59,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.68,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.70,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.64,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.71,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.72,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.63,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.55,2.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.76,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.47,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.47,2.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.46,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.74,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.74,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.36,2.0,GET,/,200,512,/,Mozilla/5.0,
203.0.113.36,2.0,GET,/products,200,512,/,Mozilla/5.0,
203.0.113.73,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.75,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.92,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.91,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.91,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.91,2.0,GET,/blog/post-5,200,512,/blog/post-4,python-requests/2.x,
203.0.113.97,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.97,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.96,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.96,2.0,GET,/blog/post-5,200,512,/blog/post-4,python-requests/2.x,
203.0.113.84,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.85,2.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.85,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.90,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.23,2.0,GET,/,200,512,/,Mozilla/5.0,
203.0.113.90,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.102,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.61,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.61,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.105,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.54,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.54,2.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.76,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.76,2.0,GET,/support/faq-3,200,512,/products/category-1/item-1,python-requests/2.x,
203.0.113.48,2.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.89,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.89,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.53,2.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.95,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.95,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.52,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.52,2.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.81,2.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.81,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.87,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.87,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.62,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.51,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.77,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.77,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.79,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.50,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.50,2.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.49,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.49,2.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.100,2.0,GET,/blog/post-6,200,512,/blog/post-5,python-requests/2.x,
203.0.113.101,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.99,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.99,2.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.99,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.103,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.98,2.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.98,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.78,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.80,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.80,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.86,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.86,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.86,2.0,GET,/blog/post-5,200,512,/blog/post-4,python-requests/2.x,
203.0.113.84,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.27,2.0,GET,/,200,512,/,Mozilla/5.0,
203.0.113.83,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.83,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.82,2.0,GET,/blog/post-3,200,512,/blog/post-2,python-requests/2.x,
203.0.113.82,2.0,GET,/blog/post-2,200,512,/blog/post-1,python-requests/2.x,
203.0.113.100,2.0,GET,/blog/post-4,200,512,/blog/post-3,python-requests/2.x,
203.0.113.100,2.0,GET,/blog/post-5,200,512,/blog/post-4,python-requests/2.x,
203.0.113.108,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.116,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.58,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.117,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.115,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.119,2.0,GET,/products,200,512,/,stealth-browser/1.0,
203.0.113.60,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.112,2.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.113,2.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.6,2.0,GET,/,200,512,/,Mozilla/5.0,
203.0.113.67,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.42,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.66,2.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.43,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.56,2.0,GET,/blog,200,512,/products,python-requests/2.x,
203.0.113.56,2.0,GET,/support,200,512,/blog,python-requests/2.x,
203.0.113.111,2.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.20,3.0,GET,/,200,512,/,Mozilla/5.0,
203.0.113.58,3.0,GET,/products/category-1,200,512,/about,python-requests/2.x,
203.0.113.93,3.0,GET,/blog/post-6,200,512,/blog/post-5,python-requests/2.x,
203.0.113.3,3.0,GET,/,200,512,/,Mozilla/5.0,
203.0.113.2,3.0,GET,/,200,512,/,Mozilla/5.0,
203.0.113.88,3.0,GET,/blog/post-6,200,512,/blog/post-5,python-requests/2.x,
203.0.113.88,3.0,GET,/blog/post-7,200,512,/blog/post-6,python-requests/2.x,
203.0.113.57,3.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.58,3.0,GET,/products/category-2,200,512,/products/category-1,python-requests/2.x,
203.0.113.45,3.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.45,3.0,GET,/products/category-1,200,512,/about,python-requests/2.x,
203.0.113.93,3.0,GET,/blog/post-7,200,512,/blog/post-6,python-requests/2.x,
203.0.113.92,3.0,GET,/blog/post-6,200,512,/blog/post-5,python-requests/2.x,
203.0.113.67,3.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.43,3.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.43,3.0,GET,/products/category-1,200,512,/about,python-requests/2.x,
203.0.113.42,3.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.114,3.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.56,3.0,GET,/about,200,512,/support,python-requests/2.x,
203.0.113.66,3.0,GET,/support/faq-3,200,512,/products/category-1/item-1,python-requests/2.x,
203.0.113.66,3.0,GET,/support/contact,200,512,/support/faq-3,python-requests/2.x,
203.0.113.49,3.0,GET,/products/category-1,200,512,/about,python-requests/2.x,
203.0.113.49,3.0,GET,/products/category-2,200,512,/products/category-1,python-requests/2.x,
203.0.113.50,3.0,GET,/products/category-1,200,512,/about,python-requests/2.x,
203.0.113.50,3.0,GET,/products/category-2,200,512,/products/category-1,python-requests/2.x,
203.0.113.98,3.0,GET,/blog/post-5,200,512,/blog/post-4,python-requests/2.x,
203.0.113.98,3.0,GET,/blog/post-6,200,512,/blog/post-5,python-requests/2.x,
203.0.113.99,3.0,GET,/blog/post-5,200,512,/blog/post-4,python-requests/2.x,
203.0.113.104,3.0,GET,/products,200,512,/,python-requests/2.x,
203.0.113.54,3.0,GET,/products/category-1,200,512,/about,python-requests/2.x,
203.0.113.68,3.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
203.0.113.110,3.0,GET,/products/category-1,200,512,/products,python-requests/2.x,
203.0.113.106,3.0,GET,/products/category-1,200,512,/products,stealth-browser/1.0,
203.0.113.70,3.0,GET,/products/category-1/item-1,200,512,/products/category-1,python-requests/2.x,
