source,target,weight
/cart.html,/contact.html,96
/cart.html,/hidden/diagnostic-offer.html,2
/pages/articles/honeypots-in-modern-web-applications.html,/pages/articles/honeypots-in-modern-web-applications.html,9
/pages/articles/honeypots-in-modern-web-applications.html,/pages/products/hydra-node-x.html,2
/pages/articles/honeypots-in-modern-web-applications.html,/pages/products/puremesh-filter.html,3
/pages/articles/honeypots-in-modern-web-applications.html,/pages/products/aqua-sense-pro.html,118
/pages/articles/honeypots-in-modern-web-applications.html,/hidden/diagnostic-offer.html,4
/pages/articles/honeypots-in-modern-web-applications.html,/about.html,2
/pages/products/hydra-node-x.html,/pages/products/puremesh-filter.html,109
/pages/products/hydra-node-x.html,/pages/articles/honeypots-in-modern-web-applications.html,1
/pages/products/hydra-node-x.html,/products.html,8
/pages/products/hydra-node-x.html,/pages/articles/designing-websites-for-behavioral-security-research.html,2
/pages/products/hydra-node-x.html,/hidden/diagnostic-offer.html,6
/pages/products/hydra-node-x.html,/pages/products/hydra-node-x.html,8
/pages/products/puremesh-filter.html,/pages/products/river-vision-cam.html,108
/pages/products/puremesh-filter.html,/hidden/diagnostic-offer.html,4
/pages/products/puremesh-filter.html,/pages/products/puremesh-filter.html,11
/pages/products/flow-guard-mini.html,/cart.html,6
/pages/products/flow-guard-mini.html,/pages/products/hydra-node-x.html,112
/pages/products/flow-guard-mini.html,/hidden/diagnostic-offer.html,4
/pages/products/flow-guard-mini.html,/pages/products/flow-guard-mini.html,7
/pages/products/flow-guard-mini.html,/about.html,4
/pages/products/aqua-sense-pro.html,/pages/products/hydra-node-x.html,2
/pages/products/aqua-sense-pro.html,/products.html,2
/pages/products/aqua-sense-pro.html,/pages/products/flow-guard-mini.html,116
/pages/products/aqua-sense-pro.html,/hidden/diagnostic-offer.html,6
/pages/products/aqua-sense-pro.html,/pages/products/aqua-sense-pro.html,9
/hidden/diagnostic-offer.html,/hidden/diagnostic-offer.html,5
/hidden/diagnostic-offer.html,/pages/articles/designing-websites-for-behavioral-security-research.html,10
/hidden/diagnostic-offer.html,/pages/products/river-vision-cam.html,4
/hidden/diagnostic-offer.html,/index.html,106
/hidden/diagnostic-offer.html,/pages/products/hydra-node-x.html,10
/hidden/diagnostic-offer.html,/pages/products/flow-guard-mini.html,4
/hidden/diagnostic-offer.html,/pages/products/puremesh-filter.html,6
/hidden/diagnostic-offer.html,/pages/articles/honeypots-in-modern-web-applications.html,2
/hidden/diagnostic-offer.html,/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,2
/hidden/diagnostic-offer.html,/products.html,4
/pages/products/river-vision-cam.html,/products.html,98
/pages/products/river-vision-cam.html,/pages/articles/designing-websites-for-behavioral-security-research.html,2
/pages/products/river-vision-cam.html,/pages/products/river-vision-cam.html,11
/pages/products/river-vision-cam.html,/articles.html,2
/pages/products/river-vision-cam.html,/hidden/diagnostic-offer.html,6
