source,target,weight
/support/faq-3,/products/category-4/item-4,8
/support/faq-3,/products/category-6/item-2,2
/support/faq-3,/support,6
/support/faq-3,/products/category-2/item-7,2
/support/faq-3,/support/faq-4,27
/support/faq-3,/products/category-1/item-2,13
/blog/post-7,/blog/post-8,82
/blog/post-7,/products/category-2,8
/blog/post-7,/support/contact,2
/blog/post-7,/about,2
/blog/post-8,/blog/post-9,60
/blog/post-8,/products/category-5/item-4,2
/blog/post-8,/blog/post-7,4
/blog/post-8,/products/category-3,2
/blog/post-9,/products/category-4,14
/blog/post-9,/blog/post-6,2
/blog/post-9,/blog,4
/blog/post-9,/blog/post-8,2
/blog/post-9,/support/faq-1,30
/products/category-2,/products/category-2/item-1,52
/products/category-2,/products/category-2,1
/products/category-2,/products/category-2/item-4,2
/products/category-2,/products/category-2/item-7,5
/products/category-2,/products/category-2/item-2,6
/products/category-2,/products,2
/products/category-2,/products/category-2/item-3,2
/products/category-2,/products/category-3,40
/products/category-2/item-1,/support/faq-4,10
/products/category-2/item-1,/products/category-2/item-7,1
/products/category-2/item-1,/products/category-2,1
/products/category-2/item-1,/products/category-2/item-2,36
/support/faq-4,/support/contact,28
/support/faq-4,/products/category-5/item-4,2
/support/faq-4,/products/category-4/item-5,2
/support/faq-4,/support/faq-5,22
/support/faq-4,/about/team,1
/support/faq-4,/products/category-1/item-3,37
/support,/support/faq-1,16
/support,/support/faq-3,8
/support,/,6
/support,/products,2
/support,/support/faq-5,6
/support,/blog/post-7,2
/support,/support/faq-4,2
/support,/about,32
/support,/products/category-1,8
/support,/support/faq-2,2
/support/faq-1,/support/contact,42
/support/faq-1,/blog,1
/support/faq-1,/products/category-5/item-1,8
/support/faq-1,/products/category-4/item-4,2
/support/faq-1,/products/category-5/item-5,2
/support/faq-1,/support/faq-3,2
/support/faq-1,/products/category-4/item-2,2
/support/faq-1,/products/category-1/item-5,4
/support/faq-1,/products/category-3/item-3,4
/support/faq-1,/blog/post-2,2
/support/faq-1,/support/faq-2,34
/support/faq-1,/products/category-1/item-6,35
/support/faq-1,/products/category-1/item-7,1
/products/category-1/item-5,/support/faq-1,35
/products/category-1/item-5,/support/contact,1
/products/category-1/item-5,/support/faq-5,2
/products/category-1/item-5,/products/category-1,6
/products/category-1/item-5,/products/category-1/item-6,10
/products/category-1/item-5,/support/faq-6,10
/products/category-3,/products/category-3/item-1,26
/products/category-3,/products/category-3/item-7,6
/products/category-3,/products/category-3/item-5,4
/products/category-3,/products/category-3/item-4,4
/products/category-3,/products/category-3/item-6,4
/products/category-3,/products/category-6/item-1,2
/products/category-3,/products/category-4,40
/products/category-3/item-1,/support/faq-5,4
/products/category-3/item-1,/products/category-3/item-2,20
/support/faq-5,/support/contact,50
/support/faq-5,/products/category-1/item-5,4
/support/faq-5,/products/category-1/item-3,2
/support/faq-5,/products/category-5/item-5,2
/support/faq-5,/products/category-4/item-6,4
/support/faq-5,/products/category-1/item-2,2
/support/faq-5,/support/faq-5,1
/support/faq-5,/products/category-6/item-3,2
/support/faq-5,/support/faq-6,20
/support/faq-5,/about/team,2
/support/faq-5,/support,2
/support/faq-5,/products/category-1/item-4,34
/about,/about/team,18
/about,/about/careers,8
/about,/,6
/about,/products/category-4/item-6,4
/about,/products/category-1,32
/about,/support,8
/about,/blog/post-7,2
/about/team,/about/careers,32
/about/team,/about,2
/about/team,/support/contact,2
/about/team,/products/category-1/item-1,3
/about/team,/support/faq-6,2
/about/team,/support/faq-5,1
/about/careers,/support/contact,88
/about/careers,/about/team,10
/about/careers,/products/category-1/item-1,9
/products/category-4,/products/category-4/item-1,18
/products/category-4,/products/category-4/item-3,2
/products/category-4,/products/category-4/item-5,2
/products/category-4,/products/category-5,39
/products/category-4,/blog/post-1,1
/products/category-4/item-1,/support/faq-6,12
/products/category-4/item-1,/products/category-4,2
/support/faq-6,/support/contact,20
/support/faq-6,/products/category-4/item-7,2
/support/faq-6,/support/faq-5,2
/support/faq-6,/about/careers,6
/support/faq-6,/about/team,11
/support/faq-6,/products/category-1/item-5,30
/support/faq-6,/support/faq-1,9
/support/faq-6,/products/category-1/item-6,1
/products/category-2/item-7,/products/category-2,4
/products/category-2/item-7,/support/faq-4,4
/products/category-2/item-7,/support/faq-3,2
/products/category-2/item-7,/products/category-3,22
/products/category-2/item-4,/products/category-2,2
/products/category-2/item-4,/products/category-4/item-2,4
/products/category-2/item-4,/products/category-2/item-5,30
/products/category-3/item-7,/support/faq-5,2
/products/category-3/item-7,/products/category-3,4
/products/category-3/item-7,/products/category-4,4
/products/category-1/item-2,/support/faq-4,33
/products/category-1/item-2,/products/category-5/item-1,2
/products/category-1/item-2,/products/category-1/item-3,13
/products/category-1/item-2,/support/contact,8
/products/category-2/item-2,/support/faq-5,4
/products/category-2/item-2,/products/category-2,2
/products/category-2/item-2,/products/category-2/item-3,34
/products/category-5,/products/category-5/item-4,2
/products/category-5,/products/category-5/item-1,4
/products/category-5,/products/category-5/item-5,8
/products/category-5,/products/category-6,30
/products/category-5,/blog/post-1,10
/products/category-5,/products/category-5/item-7,2
/products/category-5/item-4,/support/faq-4,2
/products/category-5/item-4,/products/category-5/item-1,2
/products/category-5/item-4,/products/category-4/item-7,2
/products/category-5/item-1,/support/faq-1,16
/products/category-5/item-1,/products/category-6/item-7,2
/products/category-6/item-7,/products/category-6,2
/products/category-6/item-7,/support/faq-2,4
/products/category-2/item-5,/support/contact,2
/products/category-2/item-5,/products/category-2/item-6,24
/products/category-4/item-3,/support/faq-2,4
/support/faq-2,/products/category-4/item-3,2
/support/faq-2,/support/contact,48
/support/faq-2,/products/category-6/item-1,4
/support/faq-2,/products/category-3/item-4,4
/support/faq-2,/products/category-2/item-4,2
/support/faq-2,/support/faq-3,26
/support/faq-2,/products/category-2,8
/support/faq-2,/products/category-1/item-7,32
/support/faq-2,/products/category-6/item-7,2
/products/category-6,/products/category-6/item-5,2
/products/category-6,/products/category-6/item-6,2
/products/category-6,/products/category-6/item-2,2
/products/category-6,/blog/post-1,29
/products/category-6,/blog/post-2,11
/products/category-6,/products/category-5/item-5,2
/products/category-6,/products/category-6/item-7,4
/products/category-6/item-5,/products/category-6,2
/products/category-6/item-6,/support/faq-1,4
/products/category-1/item-3,/support/faq-5,35
/products/category-1/item-3,/products/category-5/item-1,2
/products/category-1/item-3,/products/category-1,2
/products/category-1/item-3,/products/category-1/item-4,14
/products/category-1/item-3,/support/faq-4,3
/products/category-4/item-4,/support/faq-3,8
/products/category-4/item-4,/blog/post-6,2
/products/category-1/item-7,/products/category-1,2
/products/category-1/item-7,/support/faq-2,8
/products/category-1/item-7,/products/category-2,32
/products/category-3/item-5,/products/category-3,2
/products/category-3/item-5,/products/category-2/item-4,2
/products/category-3/item-5,/products/category-3/item-6,6
/products/category-3/item-4,/products/category-3,2
/products/category-3/item-4,/support/faq-2,6
/products/category-3/item-4,/products/category-3/item-5,10
/products/category-5/item-5,/support/faq-5,8
/products/category-5/item-5,/products/category-6,2
/products/category-5/item-5,/products/category-5,4
/products/category-4/item-7,/support/faq-6,4
/products/category-1/item-6,/support/contact,2
/products/category-1/item-6,/products/category-1/item-7,9
/products/category-1/item-6,/support/faq-2,28
/products/category-1/item-6,/support/faq-1,5
/products/category-4/item-6,/about,2
/products/category-4/item-6,/support/faq-5,6
/products/category-6/item-3,/support/faq-5,2
/products/category-6/item-2,/support/faq-3,4
/products/category-4/item-2,/products/category-2/item-4,2
/products/category-4/item-2,/support/faq-1,2
/products/category-2/item-3,/support/faq-6,2
/products/category-2/item-3,/products/category-2/item-4,34
/products/category-3/item-3,/support/faq-1,3
/products/category-3/item-3,/support/contact,1
/products/category-3/item-3,/products/category-3/item-4,12
/products/category-5/item-7,/support/faq-1,2
/products/category-5/item-7,/products/category-5,2
/products/category-3/item-6,/products/category-3,4
/products/category-3/item-6,/products/category-3/item-7,4
/products/category-6/item-1,/support/faq-2,6
/products/category-4/item-5,/support/faq-4,4
/products/category-4/item-5,/blog/post-2,2
/products/category-1/item-4,/products/category-1/item-5,16
/products/category-1/item-4,/support/faq-6,26
/products/category-1/item-4,/support/faq-5,6
/products/category-2/item-6,/products/category-2/item-7,24
/products/category-3/item-2,/products/category-3/item-3,16
